Year,Driver,Delta_FP2_FP1,Best_Q,Elo,Team,TeamElo,RecencyWeight,Gap_FP1,Gap_FP2,Gap_FP3,Delta_FP3_FP2,TotalLaps_FP1,TotalLaps_FP2,TotalLaps_FP3,SoftLaps_FP1,SoftLaps_FP2,SoftLaps_FP3,MeanSoftLap_FP1,MeanSoftLap_FP2,MeanSoftLap_FP3,AllLaps
2023,ALB,0.4609999999999985,72.527,1.729639374715903,Williams,1.6922289553213703,0.0,1.293999999999997,1.7549999999999957,1.1540000000000106,-0.6009999999999849,31.0,10.0,23.0,0.0,10.0,23.0,,90.0875,96.77333333333333,64.0
2023,ALO,-0.117999999999995,71.449,2.0384163413616414,Aston Martin,1.915294366613003,0.0,0.3379999999999938,0.2199999999999988,0.9210000000000064,0.7010000000000076,28.0,32.0,17.0,0.0,20.0,15.0,,84.14244444444444,91.70484615384615,77.0
2023,GAS,-0.8670000000000044,71.933,2.068268111873336,Alpine,2.022367124813348,0.0,1.4939999999999998,0.6269999999999953,0.6770000000000067,0.0500000000000113,30.0,28.0,24.0,0.0,8.0,24.0,,90.13757142857142,94.77036363636363,82.0
2023,HAM,-0.1650000000000062,71.725,2.0219076574637893,Mercedes,2.211867056028932,0.0,0.6629999999999967,0.4979999999999904,0.710000000000008,0.2120000000000175,26.0,29.0,16.0,0.0,11.0,16.0,,97.35010000000001,101.15333333333335,71.0
2023,HUL,-1.355000000000004,73.279,1.987354078513653,Haas F1 Team,1.9276236063083048,0.0,2.4129999999999967,1.0579999999999927,0.8740000000000094,-0.1839999999999833,17.0,33.0,16.0,0.0,18.0,16.0,,86.04337500000001,91.58107142857143,66.0
2023,LEC,-0.6560000000000059,71.471,2.505582462744051,Ferrari,2.3903604462648964,0.0,0.7210000000000036,0.0649999999999977,0.6989999999999981,0.6340000000000003,24.0,33.0,19.0,0.0,19.0,19.0,,88.72673333333333,103.99924999999999,76.0
2023,NOR,-0.6509999999999962,72.254,2.444681872202843,McLaren,2.401320049162948,0.0,1.0949999999999989,0.4440000000000026,0.6200000000000045,0.1760000000000019,24.0,18.0,21.0,0.0,9.0,21.0,,90.59742857142858,94.01657894736842,63.0
2023,OCO,-0.512999999999991,71.553,1.97646613775336,Alpine,2.022367124813348,0.0,1.212999999999994,0.7000000000000028,0.7199999999999989,0.019999999999996,29.0,30.0,18.0,0.0,10.0,18.0,,90.31266666666666,95.49226666666667,77.0
2023,PIA,-0.6089999999999947,72.395,2.357958226123053,McLaren,2.401320049162948,0.0,1.8199999999999927,1.2109999999999983,1.2220000000000084,0.0110000000000098,32.0,30.0,18.0,0.0,10.0,18.0,,93.290375,88.35849999999999,80.0
2023,RUS,-0.9650000000000034,71.964,2.4018264545940737,Mercedes,2.211867056028932,0.0,1.6940000000000026,0.7289999999999992,0.8140000000000072,0.0850000000000079,24.0,32.0,17.0,0.0,13.0,17.0,,92.77183333333333,95.8084375,73.0
