Year,Driver,Best_FP1,Best_FP2,Best_FP3,Best_Q,Delta_Q_FP3,RecencyWeight,Elo,Team,TeamElo
2023,ALB,74.666,74.217,73.93,72.527,-1.4030000000000058,0.36787944117144233,1689.9972351044096,Williams,1648.9889682956718
2023,ALO,73.71,72.682,73.697,71.449,-2.2480000000000047,0.36787944117144233,1999.2637730482252,Aston Martin,1876.0264057958345
2023,BOT,74.718,73.05,73.521,72.625,-0.8960000000000008,0.36787944117144233,1791.7588979654447,Alfa Romeo,1774.9958633506892
2023,DEV,75.083,73.663,74.187,72.428,-1.7590000000000003,0.36787944117144233,1542.0227221934156,AlphaTauri,1732.9898898865076
2023,GAS,74.866,73.089,73.453,71.933,-1.519999999999996,0.36787944117144233,2028.9555906699181,Alpine,1983.039022756208
2023,HAM,74.035,72.96,73.486,71.725,-1.76100000000001,0.36787944117144233,1982.9389705502588,Mercedes,2172.817753866066
2023,HUL,75.785,73.52,73.65,73.279,-0.3710000000000093,0.36787944117144233,1948.263031992032,Haas F1 Team,1888.067969751064
2023,LEC,74.093,72.527,73.475,71.471,-2.0039999999999907,0.36787944117144233,2466.772015466701,Ferrari,2351.50322787854
2023,MAG,74.725,73.457,73.624,73.27,-0.3539999999999992,0.36787944117144233,1827.872907510096,Haas F1 Team,1888.067969751064
2023,NOR,74.467,72.906,73.396,72.254,-1.141999999999996,0.36787944117144233,2405.7903065032992,McLaren,2362.3795374838023
2023,OCO,74.585,73.162,73.496,71.553,-1.9429999999999978,0.36787944117144233,1937.1224548424975,Alpine,1983.039022756208
2023,PER,74.038,72.991,72.849,73.85,1.0009999999999906,0.36787944117144233,2120.4539937377967,Red Bull Racing,2346.249259346168
2023,PIA,75.192,73.673,73.998,72.395,-1.6030000000000086,0.36787944117144233,2318.9687684643054,McLaren,2362.3795374838023
2023,RUS,75.066,73.191,73.59,71.964,-1.6260000000000048,0.36787944117144233,2362.6965371818737,Mercedes,2172.817753866066
2023,SAI,73.372,72.569,73.261,71.63,-1.6310000000000002,0.36787944117144233,2236.234440290379,Ferrari,2351.50322787854
2023,SAR,75.557,74.238,73.851,73.113,-0.7379999999999995,0.36787944117144233,1607.9807014869343,Williams,1648.9889682956718
2023,STR,74.653,73.185,72.942,72.623,-0.3189999999999884,0.36787944117144233,1752.789038543444,Aston Martin,1876.0264057958345
2023,TSU,74.82,73.641,73.738,72.082,-1.656000000000006,0.36787944117144233,1923.9570575795997,AlphaTauri,1732.9898898865076
2023,VER,74.244,72.462,72.776,71.365,-1.4110000000000014,0.36787944117144233,2572.044524954539,Red Bull Racing,2346.249259346168
2023,ZHO,75.684,73.354,73.772,73.523,-0.24900000000000944,0.36787944117144233,1758.2328287359337,Alfa Romeo,1774.9958633506892
2024,ALB,73.425,72.257,72.18,70.948,-1.2320000000000135,1.0,1689.9972351044096,Williams,1648.9889682956718
2024,ALO,72.775,71.753,72.087,72.019,-0.06799999999999784,1.0,1999.2637730482252,Aston Martin,1876.0264057958345
2024,BOT,73.248,73.057,86.364,72.512,-13.852000000000004,1.0,1791.7588979654447,Kick Sauber,1774.9958633506892
2024,GAS,75.574,72.75,72.144,70.896,-1.2480000000000047,1.0,2028.9555906699181,Alpine,1983.039022756208
2024,HAM,72.169,71.466,71.71,70.621,-1.0889999999999986,1.0,1982.9389705502588,Mercedes,2172.817753866066
2024,HUL,73.576,72.569,72.192,71.44,-0.7519999999999953,1.0,1948.263031992032,Haas F1 Team,1888.067969751064
2024,LEC,72.397,71.278,71.369,70.27,-1.0990000000000038,1.0,2466.772015466701,Ferrari,2351.50322787854
2024,MAG,73.39,72.473,72.216,71.725,-0.49099999999999966,1.0,1827.872907510096,Haas F1 Team,1888.067969751064
2024,NOR,72.396,71.953,71.988,70.542,-1.445999999999998,1.0,2405.7903065032992,McLaren,2362.3795374838023
2024,OCO,74.159,72.554,72.472,71.285,-1.1869999999999976,1.0,1937.1224548424975,Alpine,1983.039022756208
2024,PER,73.229,72.099,71.923,72.06,0.13700000000000045,1.0,2120.4539937377967,Red Bull Racing,2346.249259346168
2024,PIA,72.198,72.366,71.901,70.424,-1.4769999999999897,1.0,2318.9687684643054,McLaren,2362.3795374838023
2024,RIC,72.901,72.577,72.829,71.482,-1.3469999999999942,1.0,1726.9410642057424,RB,1825.449060892671
2024,RUS,72.295,72.26,71.968,70.543,-1.4249999999999972,1.0,2362.6965371818737,Mercedes,2172.817753866066
2024,SAI,72.954,71.962,71.979,70.518,-1.4609999999999985,1.0,2236.234440290379,Ferrari,2351.50322787854
2024,SAR,74.15,72.79,72.703,72.02,-0.6830000000000069,1.0,1607.9807014869343,Williams,1648.9889682956718
2024,STR,72.789,72.062,72.331,71.563,-0.7680000000000007,1.0,1752.789038543444,Aston Martin,1876.0264057958345
2024,TSU,72.875,72.349,71.991,70.858,-1.1329999999999956,1.0,1923.9570575795997,RB,1825.449060892671
2024,VER,72.984,71.813,71.566,70.567,-0.9990000000000094,1.0,2572.044524954539,Red Bull Racing,2346.249259346168
2024,ZHO,74.57,73.773,73.83,73.028,-0.8019999999999925,1.0,1758.2328287359337,Kick Sauber,1774.9958633506892
